Year,GBP,USD,AUD,GOLD
1209,0.08,,,
1210,0.08,,,
1211,0.09,,,
1212,0.08,,,
1213,0.08,,,
1214,0.08,,,
1215,0.08,,,
1216,0.09,,,
1217,0.1,,,
1218,0.12,,,
1219,0.11,,,
1220,0.1,,,
1221,0.11,,,
1222,0.09,,,
1223,0.08,,,
1224,0.09,,,
1225,0.13,,,
1226,0.12,,,
1227,0.12,,,
1228,0.12,,,
1229,0.12,,,
1230,0.11,,,
1231,0.11,,,
1232,0.11,,,
1233,0.1,,,
1234,0.1,,,
1235,0.1,,,
1236,0.1,,,
1237,0.11,,,
1238,0.11,,,
1239,0.11,,,
1240,0.1,,,
1241,0.1,,,
1242,0.1,,,
1243,0.09,,,
1244,0.09,,,
1245,0.09,,,
1246,0.1,,,
1247,0.14,,,
1248,0.13,,,
1249,0.1,,,
1250,0.11,,,
1251,0.1,,,
1252,0.1,,,
1253,0.12,,,
1254,0.09,,,
1255,0.09,,,
1256,0.12,,,
1257,0.14,,,
1258,0.14,,,
1259,0.13,,,
1260,0.12,,,
1261,0.12,,,
1262,0.12,,,
1263,0.11,,,
1264,0.11,,,
1265,0.12,,,
1266,0.12,,,
1267,0.13,,,
1268,0.11,,,
1269,0.13,,,
1270,0.13,,,
1271,0.16,,,
1272,0.17,,,
1273,0.14,,,
1274,0.16,,,
1275,0.16,,,
1276,0.14,,,
1277,0.16,,,
1278,0.14,,,
1279,0.13,,,
1280,0.14,,,
1281,0.13,,,
1282,0.15,,,
1283,0.15,,,
1284,0.15,,,
1285,0.12,,,
1286,0.13,,,
1287,0.12,,,
1288,0.1,,,
1289,0.11,,,
1290,0.12,,,
1291,0.15,,,
1292,0.14,,,
1293,0.14,,,
1294,0.16,,,
1295,0.17,,,
1296,0.16,,,
1297,0.14,,,
1298,0.15,,,
1299,0.15,,,
1300,0.15,,,
1301,0.14,,,
1302,0.14,,,
1303,0.13,,,
1304,0.12,,,
1305,0.14,,,
1306,0.14,,,
1307,0.13,,,
1308,0.15,,,
1309,0.17,,,
1310,0.18,,,
1311,0.18,,,
1312,0.15,,,
1313,0.15,,,
1314,0.16,,,
1315,0.17,,,
1316,0.24,,,
1317,0.24,,,
1318,0.18,,,
1319,0.14,,,
1320,0.15,,,
1321,0.16,,,
1322,0.22,,,
1323,0.19,,,
1324,0.16,,,
1325,0.17,,,
1326,0.15,,,
1327,0.13,,,
1328,0.14,,,
1329,0.16,,,
1330,0.16,,,
1331,0.17,,,
1332,0.17,,,
1333,0.14,,,
1334,0.13,,,
1335,0.13,,,
1336,0.14,,,
1337,0.13,,,
1338,0.12,,,
1339,0.11,,,
1340,0.14,,,
1341,0.12,,,
1342,0.12,,,
1343,0.12,,,
1344,0.14,,,
1345,0.12,,,
1346,0.13,,,
1347,0.15,,,
1348,0.15,,,
1349,0.12,,,
1350,0.15,,,
1351,0.18,,,
1352,0.2,,,
1353,0.16,,,
1354,0.15,,,
1355,0.16,,,
1356,0.16,,,
1357,0.17,,,
1358,0.17,,,
1359,0.16,,,
1360,0.16,,,
1361,0.16,,,
1362,0.15,,,
1363,0.18,,,
1364,0.19,,,
1365,0.17,,,
1366,0.16,,,
1367,0.16,,,
1368,0.18,,,
1369,0.18,,,
1370,0.25,,,
1371,0.18,,,
1372,0.17,,,
1373,0.18,,,
1374,0.16,,,
1375,0.19,,,
1376,0.19,,,
1377,0.15,,,
1378,0.14,,,
1379,0.13,,,
1380,0.16,,,
1381,0.16,,,
1382,0.15,,,
1383,0.15,,,
1384,0.15,,,
1385,0.14,,,
1386,0.15,,,
1387,0.14,,,
1388,0.13,,,
1389,0.12,,,
1390,0.15,,,
1391,0.18,,,
1392,0.15,,,
1393,0.13,,,
1394,0.13,,,
1395,0.13,,,
1396,0.14,,,
1397,0.16,,,
1398,0.16,,,
1399,0.15,,,
1400,0.15,,,
1401,0.16,,,
1402,0.18,,,
1403,0.16,,,
1404,0.14,,,
1405,0.14,,,
1406,0.13,,,
1407,0.14,,,
1408,0.15,,,
1409,0.17,,,
1410,0.18,,,
1411,0.16,,,
1412,0.14,,,
1413,0.15,,,
1414,0.14,,,
1415,0.14,,,
1416,0.16,,,
1417,0.18,,,
1418,0.15,,,
1419,0.16,,,
1420,0.14,,,
1421,0.15,,,
1422,0.15,,,
1423,0.14,,,
1424,0.14,,,
1425,0.15,,,
1426,0.14,,,
1427,0.13,,,
1428,0.14,,,
1429,0.17,,,
1430,0.17,,,
1431,0.15,,,
1432,0.13,,,
1433,0.16,,,
1434,0.15,,,
1435,0.14,,,
1436,0.15,,,
1437,0.15,,,
1438,0.19,,,
1439,0.2,,,
1440,0.17,,,
1441,0.13,,,
1442,0.13,,,
1443,0.13,,,
1444,0.13,,,
1445,0.13,,,
1446,0.15,,,
1447,0.15,,,
1448,0.14,,,
1449,0.14,,,
1450,0.14,,,
1451,0.15,,,
1452,0.15,,,
1453,0.14,,,
1454,0.14,,,
1455,0.13,,,
1456,0.14,,,
1457,0.14,,,
1458,0.15,,,
1459,0.15,,,
1460,0.15,,,
1461,0.16,,,
1462,0.17,,,
1463,0.13,,,
1464,0.12,,,
1465,0.14,,,
1466,0.14,,,
1467,0.15,,,
1468,0.15,,,
1469,0.15,,,
1470,0.15,,,
1471,0.15,,,
1472,0.15,,,
1473,0.13,,,
1474,0.13,,,
1475,0.14,,,
1476,0.14,,,
1477,0.14,,,
1478,0.16,,,
1479,0.16,,,
1480,0.15,,,
1481,0.15,,,
1482,0.17,,,
1483,0.19,,,
1484,0.17,,,
1485,0.15,,,
1486,0.15,,,
1487,0.15,,,
1488,0.15,,,
1489,0.15,,,
1490,0.15,,,
1491,0.16,,,
1492,0.15,,,
1493,0.14,,,
1494,0.14,,,
1495,0.14,,,
1496,0.13,,,
1497,0.15,,,
1498,0.14,,,
1499,0.15,,,
1500,0.14,,,
1501,0.16,,,
1502,0.17,,,
1503,0.16,,,
1504,0.16,,,
1505,0.15,,,
1506,0.14,,,
1507,0.15,,,
1508,0.15,,,
1509,0.12,,,
1510,0.13,,,
1511,0.13,,,
1512,0.15,,,
1513,0.18,,,
1514,0.15,,,
1515,0.16,,,
1516,0.17,,,
1517,0.15,,,
1518,0.16,,,
1519,0.16,,,
1520,0.18,,,
1521,0.2,,,
1522,0.18,,,
1523,0.18,,,
1524,0.17,,,
1525,0.15,,,
1526,0.15,,,
1527,0.17,,,
1528,0.24,,,
1529,0.19,,,
1530,0.19,,,
1531,0.2,,,
1532,0.2,,,
1533,0.2,,,
1534,0.17,,,
1535,0.2,,,
1536,0.2,,,
1537,0.21,,,
1538,0.18,,,
1539,0.17,,,
1540,0.18,,,
1541,0.2,,,
1542,0.19,,,
1543,0.21,,,
1544,0.22,,,
1545,0.25,,,
1546,0.27,,,
1547,0.2,,,
1548,0.2,,,
1549,0.25,,,
1550,0.31,,,
1551,0.35,,,
1552,0.31,,,
1553,0.28,,,
1554,0.27,,,
1555,0.33,,,
1556,0.4,,,
1557,0.43,,,
1558,0.29,,,
1559,0.31,,,
1560,0.33,,,
1561,0.36,,,
1562,0.36,,,
1563,0.37,,,
1564,0.39,,,
1565,0.33,,,
1566,0.34,,,
1567,0.32,,,
1568,0.32,,,
1569,0.35,,,
1570,0.34,,,
1571,0.33,,,
1572,0.36,,,
1573,0.38,,,
1574,0.44,,,
1575,0.38,,,
1576,0.39,,,
1577,0.42,,,
1578,0.39,,,
1579,0.39,,,
1580,0.37,,,
1581,0.42,,,
1582,0.42,,,
1583,0.4,,,
1584,0.4,,,
1585,0.42,,,
1586,0.5,,,
1587,0.5,,,
1588,0.42,,,
1589,0.44,,,
1590,0.49,,,
1591,0.49,,,
1592,0.44,,,
1593,0.46,,,
1594,0.53,,,
1595,0.59,,,
1596,0.63,,,
1597,0.72,,,
1598,0.65,,,
1599,0.53,,,
1600,0.55,,,
1601,0.55,,,
1602,0.54,,,
1603,0.51,,,
1604,0.52,,,
1605,0.55,,,
1606,0.56,,,
1607,0.57,,,
1608,0.66,,,
1609,0.67,,,
1610,0.59,,,
1611,0.61,,,
1612,0.64,,,
1613,0.68,,,
1614,0.67,,,
1615,0.65,,,
1616,0.66,,,
1617,0.67,,,
1618,0.67,,,
1619,0.62,,,
1620,0.58,,,
1621,0.62,,,
1622,0.7,,,
1623,0.68,,,
1624,0.66,,,
1625,0.68,,,
1626,0.68,,,
1627,0.63,,,
1628,0.62,,,
1629,0.65,,,
1630,0.76,,,
1631,0.82,,,
1632,0.75,,,
1633,0.74,,,
1634,0.75,,,
1635,0.75,,,
1636,0.77,,,
1637,0.78,,,
1638,0.81,,,
1639,0.73,,,
1640,0.69,,,
1641,0.75,,,
1642,0.71,,,
1643,0.73,,,
1644,0.71,,,
1645,0.72,,,
1646,0.76,,,
1647,0.89,,,
1648,0.98,,,
1649,0.96,,,
1650,0.92,,,
1651,0.89,,,
1652,0.8,,,
1653,0.74,,,
1654,0.65,,,
1655,0.62,,,
1656,0.72,,,
